2026-08-28 22:51:14,064 | INFO | main | Performance (last 60 frames): average FPS 13.17, median frame 87.20 ms, p95 frame 97.91 ms, dropped frames 355, pacing error 54.97 ms, scheduled 1694.088876, actual 1694.143843, late 1014, generated-late drops 574, real-late drops 423, source 17.60 FPS, presentation 11.73 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:51:19,082 | INFO | main | Performance (last 60 frames): average FPS 18.36, median frame 87.52 ms, p95 frame 98.11 ms, dropped frames 443, pacing error 26.52 ms, scheduled 1699.134027, actual 1699.160551, late 1071, generated-late drops 642, real-late drops 467, source 20.93 FPS, presentation 17.32 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:51:24,107 | INFO | main | Performance (last 60 frames): average FPS 15.15, median frame 86.57 ms, p95 frame 97.90 ms, dropped frames 509, pacing error 29.46 ms, scheduled 1704.155492, actual 1704.184952, late 1119, generated-late drops 716, real-late drops 521, source 21.05 FPS, presentation 15.62 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:51:29,108 | INFO | main | Performance (last 60 frames): average FPS 38.40, median frame 86.09 ms, p95 frame 96.94 ms, dropped frames 561, pacing error 20.52 ms, scheduled 1709.168350, actual 1709.188872, late 1214, generated-late drops 794, real-late drops 551, source 28.89 FPS, presentation 24.95 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:51:34,112 | INFO | main | Performance (last 60 frames): average FPS 40.07, median frame 82.52 ms, p95 frame 96.52 ms, dropped frames 601, pacing error 0.02 ms, scheduled 1714.189844, actual 1714.189868, late 1351, generated-late drops 845, real-late drops 589, source 27.41 FPS, presentation 47.05 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:51:36,664 | INFO | wgc_capture | WGC capture closed for HWND 721580
2026-08-28 23:00:20,158 | INFO | main | ==================================================
2026-08-28 23:00:20,159 | INFO | main | UniversalUpscaler
2026-08-28 23:00:20,159 | INFO | main | Version: 0.1.0
2026-08-28 23:00:20,159 | INFO | main | Initializing...
2026-08-28 23:00:20,159 | INFO | main | Requested capture backend mode: Wgc
2026-08-28 23:00:20,159 | INFO | main | Requested upscaling method: Bilinear
2026-08-28 23:00:20,159 | INFO | main | Requested processing backend: OpenCV CPU
2026-08-28 23:00:20,159 | INFO | main | Requested frame processor: SHADER
2026-08-28 23:00:20,159 | INFO | main | Requested runtime pipeline: CPU
2026-08-28 23:00:20,159 | INFO | main | Preview enabled: True
2026-08-28 23:00:20,159 | INFO | main | ==================================================
